timestamp_ms,iso_time,latitude,longitude,altitude_m,heading_deg,phase
1780698383938,2026-06-05T15:26:23.938,34.04839859,-117.83749626,1.00,24.6,lane 1/22
1780698384188,2026-06-05T15:26:24.188,34.04839924,-117.83749569,1.10,28.8,lane 1/22
1780698384438,2026-06-05T15:26:24.438,34.04839953,-117.83749436,1.20,36.7,lane 1/22
1780698384688,2026-06-05T15:26:24.688,34.04839952,-117.83748924,1.60,49.2,lane 1/22
1780698384938,2026-06-05T15:26:24.938,34.04839887,-117.83748451,2.00,57.5,lane 1/22
1780698385188,2026-06-05T15:26:25.188,34.04839718,-117.83747508,2.70,70.0,lane 1/22
1780698385439,2026-06-05T15:26:25.439,34.04839618,-117.83746727,3.10,79.4,lane 1/22
1780698385689,2026-06-05T15:26:25.689,34.04839361,-117.83745425,3.70,93.7,lane 1/22
1780698385988,2026-06-05T15:26:25.988,34.04838964,-117.83743941,4.20,108.6,lane 1/22
1780698386239,2026-06-05T15:26:26.239,34.04838662,-117.83742945,4.60,116.2,lane 1/22
1780698386538,2026-06-05T15:26:26.538,34.04838074,-117.83741320,5.20,121.9,lane 1/22
1780698386789,2026-06-05T15:26:26.789,34.04837372,-117.83739672,5.80,122.2,lane 1/22
1780698387038,2026-06-05T15:26:27.038,34.04836881,-117.83738549,6.20,122.3,lane 1/22
1780698387288,2026-06-05T15:26:27.288,34.04836068,-117.83736802,6.80,123.1,lane 1/22
1780698387538,2026-06-05T15:26:27.538,34.04835540,-117.83735697,7.00,124.9,lane 1/22
1780698387788,2026-06-05T15:26:27.788,34.04834728,-117.83734137,7.40,124.9,lane 1/22
1780698388038,2026-06-05T15:26:28.038,34.04834148,-117.83733090,7.60,126.0,lane 1/22
1780698388288,2026-06-05T15:26:28.288,34.04833261,-117.83731558,7.80,131.7,lane 1/22
1780698388538,2026-06-05T15:26:28.538,34.04832752,-117.83730602,8.00,130.9,lane 1/22
1780698388788,2026-06-05T15:26:28.788,34.04832111,-117.83729332,8.10,131.5,lane 1/22
1780698389038,2026-06-05T15:26:29.038,34.04831756,-117.83728526,8.20,130.8,lane 1/22
1780698389288,2026-06-05T15:26:29.288,34.04831278,-117.83727501,8.30,133.9,lane 1/22
1780698389539,2026-06-05T15:26:29.539,34.04831014,-117.83726944,8.30,135.4,lane 2/22
1780698389838,2026-06-05T15:26:29.838,34.04830613,-117.83726233,8.30,137.1,lane 2/22
1780698390089,2026-06-05T15:26:30.089,34.04830078,-117.83725591,8.30,145.2,lane 2/22
1780698390340,2026-06-05T15:26:30.340,34.04829670,-117.83725220,8.40,152.4,lane 2/22
1780698390638,2026-06-05T15:26:30.638,34.04828906,-117.83724728,8.40,166.4,lane 2/22
1780698390889,2026-06-05T15:26:30.889,34.04828048,-117.83724353,8.50,176.2,lane 2/22
1780698391188,2026-06-05T15:26:31.188,34.04827064,-117.83724004,8.50,-179.2,lane 2/22
1780698391438,2026-06-05T15:26:31.438,34.04826398,-117.83723822,8.50,-178.8,lane 2/22
1780698391689,2026-06-05T15:26:31.689,34.04825281,-117.83723523,8.50,-178.9,lane 2/22
1780698391989,2026-06-05T15:26:31.989,34.04824081,-117.83723298,8.50,-179.0,lane 2/22
1780698392289,2026-06-05T15:26:32.289,34.04822812,-117.83723084,8.60,-179.2,lane 2/22
1780698392589,2026-06-05T15:26:32.589,34.04821470,-117.83722959,8.60,-179.1,lane 2/22
1780698392888,2026-06-05T15:26:32.888,34.04820047,-117.83722875,8.60,-178.5,lane 2/22
1780698393138,2026-06-05T15:26:33.138,34.04819056,-117.83722844,8.60,-178.4,lane 2/22
1780698393389,2026-06-05T15:26:33.389,34.04817554,-117.83722809,8.60,-178.3,lane 2/22
1780698393638,2026-06-05T15:26:33.638,34.04816546,-117.83722802,8.60,-178.3,lane 2/22
1780698393888,2026-06-05T15:26:33.888,34.04814991,-117.83722796,8.60,-178.4,lane 2/22
1780698394138,2026-06-05T15:26:34.138,34.04813986,-117.83722786,8.60,-178.4,lane 2/22
1780698394388,2026-06-05T15:26:34.388,34.04812548,-117.83722804,8.60,-178.6,lane 2/22
1780698394639,2026-06-05T15:26:34.639,34.04811547,-117.83722816,8.60,-178.6,lane 2/22
1780698394889,2026-06-05T15:26:34.889,34.04810069,-117.83722851,8.60,-178.6,lane 2/22
1780698395188,2026-06-05T15:26:35.188,34.04808583,-117.83722884,8.60,-178.6,lane 2/22
1780698395439,2026-06-05T15:26:35.439,34.04807610,-117.83722939,8.60,-177.0,lane 2/22
1780698395740,2026-06-05T15:26:35.740,34.04806105,-117.83723015,8.60,-177.0,lane 2/22
1780698396039,2026-06-05T15:26:36.039,34.04804597,-117.83723089,8.60,-176.9,lane 2/22
1780698396338,2026-06-05T15:26:36.338,34.04803033,-117.83723186,8.60,-176.9,lane 2/22
1780698396588,2026-06-05T15:26:36.588,34.04801474,-117.83723295,8.60,-177.0,lane 2/22
1780698396839,2026-06-05T15:26:36.839,34.04800432,-117.83723369,8.60,-175.7,lane 2/22
1780698397089,2026-06-05T15:26:37.089,34.04798929,-117.83723495,8.60,-174.4,lane 2/22
1780698397388,2026-06-05T15:26:37.388,34.04797379,-117.83723659,8.60,-174.4,lane 2/22
1780698397639,2026-06-05T15:26:37.639,34.04796336,-117.83723782,8.60,-174.3,lane 2/22
1780698397939,2026-06-05T15:26:37.939,34.04794774,-117.83723956,8.60,-174.4,lane 2/22
1780698398189,2026-06-05T15:26:38.189,34.04793219,-117.83724193,8.60,-170.1,lane 2/22
1780698398439,2026-06-05T15:26:38.439,34.04792286,-117.83724344,8.70,-170.2,lane 2/22
1780698398689,2026-06-05T15:26:38.689,34.04791058,-117.83724536,8.70,-169.3,lane 2/22
1780698398988,2026-06-05T15:26:38.988,34.04790059,-117.83724667,8.70,-170.4,lane 2/22
1780698399239,2026-06-05T15:26:39.239,34.04789603,-117.83724743,8.70,-170.5,lane 2/22
1780698399539,2026-06-05T15:26:39.539,34.04789084,-117.83724881,8.60,-169.8,lane 3/22
1780698399838,2026-06-05T15:26:39.838,34.04788757,-117.83724958,8.50,-167.8,lane 3/22
1780698400088,2026-06-05T15:26:40.088,34.04788510,-117.83725269,8.50,-162.5,lane 3/22
1780698400338,2026-06-05T15:26:40.338,34.04788359,-117.83725547,8.50,-157.2,lane 3/22
1780698400589,2026-06-05T15:26:40.589,34.04788113,-117.83726132,8.50,-145.6,lane 3/22
1780698400888,2026-06-05T15:26:40.888,34.04787896,-117.83726752,8.50,-139.3,lane 3/22
1780698401138,2026-06-05T15:26:41.138,34.04787758,-117.83727188,8.50,-137.3,lane 3/22
1780698401389,2026-06-05T15:26:41.389,34.04787553,-117.83727787,8.50,-134.7,lane 3/22
1780698401639,2026-06-05T15:26:41.639,34.04787450,-117.83728103,8.50,-131.5,lane 3/22
1780698401889,2026-06-05T15:26:41.889,34.04787295,-117.83728493,8.50,-129.1,lane 3/22
1780698402188,2026-06-05T15:26:42.188,34.04787165,-117.83728865,8.40,-126.8,lane 3/22
1780698402439,2026-06-05T15:26:42.439,34.04787084,-117.83729115,8.40,-125.7,lane 4/22
1780698402739,2026-06-05T15:26:42.739,34.04787008,-117.83729351,8.50,-121.7,lane 4/22
1780698402989,2026-06-05T15:26:42.989,34.04787143,-117.83729474,8.50,-116.1,lane 4/22
1780698403288,2026-06-05T15:26:43.288,34.04787583,-117.83729545,8.50,-108.1,lane 4/22
1780698403538,2026-06-05T15:26:43.538,34.04788003,-117.83729535,8.50,-100.6,lane 4/22
1780698403788,2026-06-05T15:26:43.788,34.04788904,-117.83729533,8.50,-88.0,lane 4/22
1780698404039,2026-06-05T15:26:44.039,34.04789680,-117.83729554,8.50,-79.5,lane 4/22
1780698404338,2026-06-05T15:26:44.338,34.04790981,-117.83729595,8.50,-66.2,lane 4/22
1780698404588,2026-06-05T15:26:44.588,34.04792527,-117.83729642,8.50,-51.9,lane 4/22
1780698404838,2026-06-05T15:26:44.838,34.04793544,-117.83729701,8.50,-42.9,lane 4/22
1780698405088,2026-06-05T15:26:45.088,34.04795220,-117.83729798,8.50,-29.3,lane 4/22
1780698405338,2026-06-05T15:26:45.338,34.04796335,-117.83729863,8.50,-20.4,lane 4/22
1780698405588,2026-06-05T15:26:45.588,34.04797923,-117.83729965,8.50,-9.1,lane 4/22
1780698405838,2026-06-05T15:26:45.838,34.04799073,-117.83730041,8.50,-5.4,lane 4/22
1780698406088,2026-06-05T15:26:46.088,34.04800665,-117.83730129,8.50,-3.8,lane 4/22
1780698406339,2026-06-05T15:26:46.339,34.04801833,-117.83730218,8.50,-3.8,lane 4/22
1780698406638,2026-06-05T15:26:46.638,34.04803383,-117.83730337,8.50,-3.8,lane 4/22
1780698406888,2026-06-05T15:26:46.888,34.04804968,-117.83730478,8.50,-3.9,lane 4/22
1780698407138,2026-06-05T15:26:47.138,34.04805502,-117.83730530,8.50,-3.9,lane 4/22
1780698407388,2026-06-05T15:26:47.388,34.04807599,-117.83730737,8.50,-4.0,lane 4/22
1780698407638,2026-06-05T15:26:47.638,34.04808685,-117.83730842,8.60,-4.0,lane 4/22
1780698407888,2026-06-05T15:26:47.888,34.04810184,-117.83730997,8.60,-4.0,lane 4/22
1780698408138,2026-06-05T15:26:48.138,34.04811228,-117.83731093,8.60,-4.0,lane 4/22
1780698408388,2026-06-05T15:26:48.388,34.04812776,-117.83731247,8.50,-3.9,lane 4/22
1780698408638,2026-06-05T15:26:48.638,34.04813829,-117.83731362,8.50,-4.0,lane 4/22
1780698408889,2026-06-05T15:26:48.889,34.04815370,-117.83731475,8.50,-3.9,lane 4/22
1780698409190,2026-06-05T15:26:49.190,34.04816948,-117.83731581,8.50,-3.9,lane 4/22
1780698409440,2026-06-05T15:26:49.440,34.04818019,-117.83731656,8.60,-2.2,lane 4/22
1780698409739,2026-06-05T15:26:49.739,34.04819551,-117.83731729,8.60,-1.9,lane 4/22
1780698409989,2026-06-05T15:26:49.989,34.04821134,-117.83731771,8.50,-2.2,lane 4/22
1780698410239,2026-06-05T15:26:50.239,34.04822177,-117.83731792,8.50,-1.5,lane 4/22
1780698410539,2026-06-05T15:26:50.539,34.04823752,-117.83731819,8.50,-0.7,lane 4/22
1780698410790,2026-06-05T15:26:50.790,34.04825250,-117.83731812,8.50,0.1,lane 4/22
1780698411089,2026-06-05T15:26:51.089,34.04826691,-117.83731756,8.50,0.0,lane 4/22
1780698411388,2026-06-05T15:26:51.388,34.04827908,-117.83731660,8.50,0.0,lane 4/22
1780698411645,2026-06-05T15:26:51.645,34.04828713,-117.83731584,8.50,0.1,lane 5/22
1780698411938,2026-06-05T15:26:51.938,34.04829782,-117.83731446,8.50,-1.3,lane 5/22
1780698412188,2026-06-05T15:26:52.188,34.04830596,-117.83731481,8.50,-6.1,lane 5/22
1780698412439,2026-06-05T15:26:52.439,34.04831038,-117.83731586,8.50,-10.6,lane 5/22
1780698412689,2026-06-05T15:26:52.689,34.04831532,-117.83731794,8.50,-19.9,lane 5/22
1780698412988,2026-06-05T15:26:52.988,34.04831781,-117.83732133,8.50,-30.5,lane 5/22
1780698413238,2026-06-05T15:26:53.238,34.04831860,-117.83732402,8.50,-37.6,lane 5/22
1780698413488,2026-06-05T15:26:53.488,34.04831831,-117.83732782,8.60,-46.4,lane 5/22
1780698413738,2026-06-05T15:26:53.738,34.04831802,-117.83733063,8.60,-48.9,lane 5/22
1780698413988,2026-06-05T15:26:53.988,34.04831744,-117.83733463,8.60,-51.9,lane 6/22
1780698414238,2026-06-05T15:26:54.238,34.04831691,-117.83733661,8.50,-55.7,lane 6/22
1780698414488,2026-06-05T15:26:54.488,34.04831479,-117.83733868,8.50,-61.4,lane 6/22
1780698414738,2026-06-05T15:26:54.738,34.04831234,-117.83733928,8.50,-66.0,lane 6/22
1780698414988,2026-06-05T15:26:54.988,34.04830686,-117.83733977,8.50,-77.2,lane 6/22
1780698415239,2026-06-05T15:26:55.239,34.04830231,-117.83733975,8.50,-86.2,lane 6/22
1780698415539,2026-06-05T15:26:55.539,34.04829393,-117.83733830,8.50,-97.7,lane 6/22
1780698415838,2026-06-05T15:26:55.838,34.04828344,-117.83733641,8.50,-109.2,lane 6/22
1780698416088,2026-06-05T15:26:56.088,34.04827185,-117.83733406,8.50,-121.2,lane 6/22
1780698416338,2026-06-05T15:26:56.338,34.04826307,-117.83733277,8.50,-130.3,lane 6/22
1780698416588,2026-06-05T15:26:56.588,34.04824873,-117.83733121,8.50,-144.2,lane 6/22
1780698416839,2026-06-05T15:26:56.839,34.04823882,-117.83733029,8.50,-153.8,lane 6/22
1780698417138,2026-06-05T15:26:57.138,34.04822318,-117.83732932,8.50,-165.8,lane 6/22
1780698417388,2026-06-05T15:26:57.388,34.04820831,-117.83732898,8.50,-171.0,lane 6/22
1780698417639,2026-06-05T15:26:57.639,34.04819756,-117.83732882,8.50,-171.3,lane 6/22
1780698417938,2026-06-05T15:26:57.938,34.04818204,-117.83732897,8.50,-171.3,lane 6/22
1780698418189,2026-06-05T15:26:58.189,34.04816675,-117.83732927,8.50,-171.3,lane 6/22
1780698418488,2026-06-05T15:26:58.488,34.04815150,-117.83733001,8.50,-171.3,lane 6/22
1780698418739,2026-06-05T15:26:58.739,34.04814163,-117.83733024,8.50,-171.4,lane 6/22
1780698418989,2026-06-05T15:26:58.989,34.04812656,-117.83733069,8.50,-171.4,lane 6/22
1780698419239,2026-06-05T15:26:59.239,34.04811675,-117.83733124,8.60,-171.4,lane 6/22
1780698419489,2026-06-05T15:26:59.489,34.04810205,-117.83733226,8.60,-171.5,lane 6/22
1780698419790,2026-06-05T15:26:59.790,34.04808692,-117.83733319,8.60,-171.4,lane 6/22
1780698420088,2026-06-05T15:27:00.088,34.04807199,-117.83733413,8.60,-171.4,lane 6/22
1780698420338,2026-06-05T15:27:00.338,34.04806196,-117.83733491,8.60,-171.3,lane 6/22
1780698420588,2026-06-05T15:27:00.588,34.04804681,-117.83733609,8.60,-171.4,lane 6/22
1780698420839,2026-06-05T15:27:00.839,34.04803669,-117.83733700,8.60,-171.4,lane 6/22
1780698421089,2026-06-05T15:27:01.089,34.04802196,-117.83733833,8.60,-171.4,lane 6/22
1780698421388,2026-06-05T15:27:01.388,34.04800697,-117.83733975,8.60,-171.5,lane 6/22
1780698421639,2026-06-05T15:27:01.639,34.04799681,-117.83734069,8.50,-171.6,lane 6/22
1780698421888,2026-06-05T15:27:01.888,34.04798175,-117.83734235,8.50,-171.5,lane 6/22
1780698422138,2026-06-05T15:27:02.138,34.04797164,-117.83734370,8.50,-171.5,lane 6/22
1780698422389,2026-06-05T15:27:02.389,34.04795603,-117.83734570,8.50,-171.5,lane 6/22
1780698422639,2026-06-05T15:27:02.639,34.04794647,-117.83734707,8.50,-171.6,lane 6/22
1780698422939,2026-06-05T15:27:02.939,34.04793163,-117.83734958,8.50,-171.3,lane 6/22
1780698423238,2026-06-05T15:27:03.238,34.04791673,-117.83735237,8.50,-169.2,lane 6/22
1780698423489,2026-06-05T15:27:03.489,34.04790727,-117.83735422,8.60,-168.1,lane 6/22
1780698423789,2026-06-05T15:27:03.789,34.04789299,-117.83735732,8.70,-168.2,lane 6/22
1780698424089,2026-06-05T15:27:04.089,34.04788533,-117.83735930,8.70,-168.1,lane 6/22
1780698424388,2026-06-05T15:27:04.388,34.04788097,-117.83736072,8.60,-167.6,lane 6/22
1780698424638,2026-06-05T15:27:04.638,34.04787842,-117.83736163,8.60,-166.7,lane 6/22
1780698424888,2026-06-05T15:27:04.888,34.04787530,-117.83736343,8.50,-165.4,lane 6/22
1780698425139,2026-06-05T15:27:05.139,34.04787383,-117.83736429,8.60,-164.8,lane 7/22
1780698425390,2026-06-05T15:27:05.390,34.04787161,-117.83736584,8.50,-161.5,lane 7/22
1780698425639,2026-06-05T15:27:05.639,34.04787044,-117.83736802,8.50,-157.7,lane 7/22
1780698425938,2026-06-05T15:27:05.938,34.04786824,-117.83737253,8.50,-148.7,lane 7/22
1780698426188,2026-06-05T15:27:06.188,34.04786573,-117.83737874,8.50,-137.9,lane 7/22
1780698426438,2026-06-05T15:27:06.438,34.04786391,-117.83738310,8.60,-134.4,lane 7/22
1780698426688,2026-06-05T15:27:06.688,34.04786207,-117.83738741,8.60,-133.2,lane 7/22
1780698426939,2026-06-05T15:27:06.939,34.04785944,-117.83739341,8.60,-130.7,lane 7/22
1780698427189,2026-06-05T15:27:07.189,34.04785713,-117.83739870,8.60,-128.1,lane 7/22
1780698427440,2026-06-05T15:27:07.440,34.04785603,-117.83740168,8.60,-127.3,lane 7/22
1780698427739,2026-06-05T15:27:07.739,34.04785438,-117.83740531,8.60,-124.9,lane 7/22
1780698428038,2026-06-05T15:27:08.038,34.04785293,-117.83740914,8.60,-123.8,lane 8/22
1780698428289,2026-06-05T15:27:08.289,34.04785394,-117.83741136,8.60,-118.6,lane 8/22
1780698428539,2026-06-05T15:27:08.539,34.04785637,-117.83741260,8.60,-114.9,lane 8/22
1780698428838,2026-06-05T15:27:08.838,34.04786241,-117.83741365,8.60,-104.8,lane 8/22
1780698429089,2026-06-05T15:27:09.089,34.04787148,-117.83741488,8.60,-91.7,lane 8/22
1780698429388,2026-06-05T15:27:09.388,34.04788336,-117.83741565,8.50,-78.5,lane 8/22
1780698429638,2026-06-05T15:27:09.638,34.04789278,-117.83741616,8.50,-69.2,lane 8/22
1780698429888,2026-06-05T15:27:09.888,34.04790832,-117.83741706,8.50,-55.0,lane 8/22
1780698430138,2026-06-05T15:27:10.138,34.04791956,-117.83741722,8.50,-45.7,lane 8/22
1780698430388,2026-06-05T15:27:10.388,34.04793547,-117.83741765,8.60,-31.9,lane 8/22
1780698430639,2026-06-05T15:27:10.639,34.04794662,-117.83741781,8.60,-22.9,lane 8/22
1780698430938,2026-06-05T15:27:10.938,34.04796335,-117.83741810,8.60,-10.1,lane 8/22
1780698431188,2026-06-05T15:27:11.188,34.04797981,-117.83741795,8.60,-3.5,lane 8/22
1780698431438,2026-06-05T15:27:11.438,34.04799086,-117.83741795,8.60,-1.9,lane 8/22
1780698431689,2026-06-05T15:27:11.689,34.04800170,-117.83741792,8.60,-1.9,lane 8/22
1780698431989,2026-06-05T15:27:11.989,34.04802338,-117.83741796,8.60,-1.8,lane 8/22
1780698432288,2026-06-05T15:27:12.288,34.04803947,-117.83741808,8.50,-1.8,lane 8/22
1780698432539,2026-06-05T15:27:12.539,34.04805003,-117.83741836,8.50,-1.9,lane 8/22
1780698432839,2026-06-05T15:27:12.839,34.04806654,-117.83741868,8.60,-1.8,lane 8/22
1780698433138,2026-06-05T15:27:13.138,34.04808163,-117.83741932,8.60,-1.8,lane 8/22
1780698433388,2026-06-05T15:27:13.388,34.04809766,-117.83741969,8.60,-1.9,lane 8/22
1780698433639,2026-06-05T15:27:13.639,34.04810822,-117.83742001,8.50,-0.5,lane 8/22
1780698433939,2026-06-05T15:27:13.939,34.04812398,-117.83742037,8.50,0.4,lane 8/22
1780698434239,2026-06-05T15:27:14.239,34.04813983,-117.83742051,8.60,0.2,lane 8/22
1780698434538,2026-06-05T15:27:14.538,34.04815529,-117.83742072,8.60,0.3,lane 8/22
1780698434789,2026-06-05T15:27:14.789,34.04817122,-117.83742049,8.60,0.4,lane 8/22
1780698435089,2026-06-05T15:27:15.089,34.04818693,-117.83742057,8.60,1.0,lane 8/22
1780698435388,2026-06-05T15:27:15.388,34.04820314,-117.83742015,8.60,2.3,lane 8/22
1780698435638,2026-06-05T15:27:15.638,34.04821319,-117.83741984,8.60,2.3,lane 8/22
1780698435888,2026-06-05T15:27:15.888,34.04822921,-117.83741917,8.50,3.4,lane 8/22
1780698436138,2026-06-05T15:27:16.138,34.04824018,-117.83741857,8.50,5.3,lane 8/22
1780698436389,2026-06-05T15:27:16.389,34.04825582,-117.83741735,8.50,5.8,lane 8/22
1780698436639,2026-06-05T15:27:16.639,34.04826575,-117.83741622,8.50,5.7,lane 8/22
1780698436889,2026-06-05T15:27:16.889,34.04828005,-117.83741423,8.50,6.7,lane 8/22
1780698437139,2026-06-05T15:27:17.139,34.04828942,-117.83741286,8.50,7.2,lane 8/22
1780698437439,2026-06-05T15:27:17.439,34.04830297,-117.83741041,8.50,8.6,lane 9/22
