latitude,longitude,altitude_m
35.04823537,-118.15128772,8
35.04823537,-118.15126578,8
35.04821741,-118.15126578,8
35.04821741,-118.15128772,8

35.04846354,-118.15129570,8
35.04846354,-118.15127376,8
35.04844558,-118.15127376,8
35.04844558,-118.15129570,8

35.04826744,-118.15136002,8
35.04826744,-118.15133808,8
35.04824948,-118.15133808,8
35.04824948,-118.15136002,8

35.04827676,-118.15145147,8
35.04827676,-118.15142953,8
35.04825880,-118.15142953,8
35.04825880,-118.15145147,8

35.04844294,-118.15145802,8
35.04844294,-118.15143608,8
35.04842498,-118.15143608,8
35.04842498,-118.15145802,8

35.04837969,-118.15151728,8
35.04837969,-118.15149534,8
35.04836173,-118.15149534,8
35.04836173,-118.15151728,8

35.04825319,-118.15152311,8
35.04825319,-118.15150117,8
35.04823523,-118.15150117,8
35.04823523,-118.15152311,8

35.04842089,-118.15170237,8
35.04842089,-118.15168043,8
35.04840293,-118.15168043,8
35.04840293,-118.15170237,8

35.04808488,-118.15180580,8
35.04808488,-118.15178386,8
35.04806692,-118.15178386,8
35.04806692,-118.15180580,8

35.04830424,-118.15181081,8
35.04830424,-118.15178887,8
35.04828628,-118.15178887,8
35.04828628,-118.15181081,8